DATE,EVENT
6/28/1914,"Assassination of Archduke Franz Ferdinand of Austria, heir to the Austro-Hungarian throne, who was killed in Sarajevo along with his wife Duchess Sophie by Bosnian Serb Gavrilo Princip."
7/5/1914,Austria-Hungary seeks German support for a war against Serbia in case of Russian militarism. Germany gives assurances of support.
7/23/1914,Austria-Hungary sends an ultimatum to Serbia. The Serbian response is seen as unsatisfactory.
7/28/1914,Austria-Hungary declares war on Serbia. Russia mobilizes.
7/31/1914,Germany warns Russia to stop mobilizing. Russia says mobilization is against Austria-Hungary only.
8/1/1914,Germany and the Ottoman Empire sign a secret alliance treaty.
8/1/1914,Germany declares war on Russia.
8/1/1914,Italy declares its neutrality.
8/2/1914,"Germany sieges and captures fortified Longwy 'the iron gate to Paris' near the Luxembourg border, opening France to mass German invasion"
8/2/1914,Germany invades Luxembourg.
8/2/1914,"Skirmish at Joncherey, first military action on the Western Front"
8/3/1914,Germany declares war on France. Belgium does not allow German arms through to the French border.
8/4/1914,The Germans besiege and then capture the fortresses of Belgium.
8/4/1914,Germany invades Belgium
8/4/1914,"Britain protests the violation of Belgian neutrality, guaranteed by a treaty; German Chancellor replies that the treaty is just a chiffon de papier (a scrap of paper). The United Kingdom declares war on Germany."
8/4/1914,The United States declares neutrality.
8/5/1914,Montenegro declares war on Austria-Hungary.
8/5/1914,The Ottoman Empire closes the Dardanelles.
8/6/1914,Austria-Hungary declares war on Russia.
8/6/1914,Serbia declares war on Germany.
8/7/1914,Battle of the Frontiers. The Germans obtain a victory against the British Expeditionary Force and France's Fifth Army.
8/7/1914,"Battle of Mulhouse, a phase of the Battle of the Frontiers."
8/7/1914,The British Expeditionary Force arrives in France.
8/9/1914,Montenegro declares war on Germany.
8/9/1914,The Togoland Campaign begins.
8/11/1914,France declares war on Austria-Hungary.
8/12/1914,"Battle of Haelen, a phase of the Battle of the Frontiers."
8/12/1914,The United Kingdom declares war on Austria-Hungary.
8/14/1914,"Battle of Lorraine, a phase of the Battle of the Frontiers."
8/16/1914,The Serbs defeat the Austro-Hungarians at the Battle of Cer.
8/17/1914,The Russian army enters East Prussia. Battle of Stalluponen.
8/20/1914,"Battle of Morhange, a phase of the Battle of Lorraine."
8/20/1914,"Battle of Sarrebourg, a phase of the Battle of Lorraine."
8/20/1914,The Germans occupy Brussels.
8/20/1914,"The Germans attack the Russians in East Prussia, the Battle of Gumbinnen. The attack is a failure in addition to being a deviation from the Schlieffen Plan."
8/21/1914,"Battle of the Ardennes, a phase of the Battle of the Frontiers."
8/21/1914,"Battle of Charleroi, a phase of the Battle of the Frontiers."
8/22/1914,Austria-Hungary declares war on Belgium.
8/23/1914,Battle of Lemberg. The Russians capture Lviv.
8/23/1914,Battle of Tannenberg: the Russian army undergoes a heavy defeat by the Germans.
8/23/1914,"Battle of Kraè?nik, a phase of the Battle of Lemberg. The Austro-Hungarian First Army defeats the Russian Fourth Army."
8/23/1914,"Battle of Mons, a phase of the Battle of the Frontiers."
8/23/1914,Japan declares war on Germany.
8/24/1914,The Allied Great Retreat to the River Marne.
8/24/1914,The Germans besiege and capture the Maubeuge Fortress.
8/24/1914,Action of Elouges.
8/24/1914,"Battle of the Mortagne, a phase of the Battle of Lorraine."
8/25/1914,Japan declares war on Austria-Hungary.
8/26/1914,"Battle of Komarow, part of the Battle of Lemberg."
8/26/1914,"Battle of Gnila Lipa, a phase of the Battle of Lemberg."
8/26/1914,Battle of Le Cateau. Allied retreat.
8/26/1914,Battle of Le Grand Fayt.
8/26/1914,"British and French forces conquer Togoland, a German protectorate in West Africa."
8/27/1914,Battle of Tsingtao: British and Japanese forces capture the German-controlled port of Tsingtao in China.
8/27/1914,Battle of ??treux.
8/28/1914,"The Royal Navy wins the First Battle of Heligoland Bight, North Sea."
8/29/1914,"Battle of Saint Quentin, aka Battle of Guise. Orderly Allied retreat."
8/30/1914,New Zealand occupies German Samoa (later Western Samoa).
9/1/1914,Action at Nery
9/2/1914,"Austro-Hungarian defeat at the Battle of Rava Russka, a phase of the Battle of Lemberg."
9/4/1914,"Battle of Grand Couronne, a phase of the Battle of the Frontiers."
9/5/1914,"First Battle of the Marne. The German advance on Paris is halted, marking the failure of the Schlieffen Plan."
9/5/1914,"Battle of the Ourcq, a phase of the First Battle of the Marne."
9/5/1914,Battle of the Two Morins.
9/6/1914,Battle of Drina.
9/6/1914,"Battle of the Marshes of Saint-Gond, a phase of the First Battle of the Marne."
9/6/1914,"Battle of Revigny, a phase of the First Battle of the Marne."
9/6/1914,"Battle of Vitry, a phase of the First Battle of the Marne."
9/7/1914,First Battle of the Masurian Lakes: The Russian Army of the Neman withdraws from East Prussia with heavy casualties.
9/9/1914,Theobald von Bethmann Hollweg lays out Germany's war aims.
9/11/1914,Australian forces occupy German New Guinea.
9/13/1914,The First Battle of the Aisne ends in a substantial draw. The Race to the Sea begins.
9/13/1914,Troops from South Africa begin invading German South-West Africa.
9/14/1914,Erich von Falkenhayn replaces Helmuth von Moltke the Younger as German Chief of Staff.
9/19/1914,Battle of Flirey
9/20/1914,"Battle of Zanzibar, German naval victory."
9/22/1914,First Battle of Picardy.
9/24/1914,The Siege of Przemyè?l begins
9/25/1914,First Battle of Albert
9/28/1914,"The Germans besiege and capture Antwerp, Belgium."
9/29/1914,"Battle of the Vistula River, aka Battle of Warsaw."
10/1/1914,"Battle of Rufiji Delta, German cruiser K??nigsberg destroyed."
10/1/1914,First Battle of Arras.
10/9/1914,Central powers control Belgrade.
10/10/1914,Battle of La Bassee.
10/12/1914,First Battle of Messines.
10/13/1914,Battle of Armentieres.
10/16/1914,Battle of the Yser. French and Belgian forces secure the coastline of Belgium.
10/19/1914,The First Battle of Ypres ends the Race to the Sea. The Germans are prevented from reaching Calais and Dunkirk.
11/1/1914,Battle of Coronel. Von Spee's German cruiser squadron defeats a Royal Navy squadron under Christopher Cradock.
11/1/1914,Russia declares war on the Ottoman Empire.
11/2/1914,"Bergmann Offensive, first military engagement in the Caucuses of the First World War."
11/2/1914,The United Kingdom begins the naval blockade of Germany.
11/3/1914,"Von Lettow-Vorbeck's German colonial forces defeat the British at the Battle of Tanga, German East Africa."
11/3/1914,Battle of Kilimanjaro.
11/3/1914,Montenegro declares war on the Ottoman Empire.
11/5/1914,France and the United Kingdom declare war on the Ottoman Empire.
11/6/1914,"Fao Landing, British and Indians besiege the fortress at Fao."
11/9/1914,"Battle of Cocos, northeast Indian Ocean. The Australian cruiser Sydney destroys the German cruiser Emden."
11/11/1914,Battle of èÅ??dèß (aka Silesian Offensive).
11/11/1914,Battle of Basra.
11/11/1914,Sultan Mehmed V declares Jihad on the Allies.
11/16/1914,"Battle of Kolubara, Austro-Hungarians leave Serbia."
12/1/1914,First Battle of Artois.
12/1/1914,Battle of Limanowa.
12/3/1914,Battle of Qurna.
12/8/1914,Battle of the Falklands. Von Spee's German cruiser squadron is defeated by the Royal Navy.
12/10/1914,Hill 60 captured by the Germans.
12/16/1914,"The German fleet shells Scarborough and Hartlepool, England."
12/18/1914,Battle of Givenchy.
12/20/1914,First Battle of Champagne.
12/20/1914,Fighting begins at Perthes.
12/22/1914,"The Russians win the Battle of Sarikamis, Caucasia."
12/22/1914,Fighting begins at Noyon.
12/24/1914,"In some sectors of the Western Front, an unofficial Christmas truce is observed between German and British forces."
12/25/1914,Battle of Ardahan.
1/2/1915,The Russian offensive in the Carpathians begins. It will continue until April 12.
1/18/1915,Battle of Jassin.
1/19/1915,"Battle of Hartmannswillerkopf, series of battles fought to control the peak."
1/19/1915,First Zeppelin raid on Great Britain.
1/24/1915,Chilembwe uprising led by John Chilembwe in Nyasaland.
1/24/1915,Battle of Dogger Bank between squadrons of the British Grand Fleet and the German Hochseeflotte.
1/28/1915,The Ottomans fail to capture the Suez Canal.
1/31/1915,Battle of Bolimov. First German use of chemical weapons.
2/4/1915,Germany begins unrestricted submarine warfare against merchant vessels.
2/7/1915,Second Battle of the Masurian Lakes. The Russian X Army is defeated.
2/19/1915,British and French naval attack on the Dardanelles. The Gallipoli Campaign begins.
3/10/1915,"Battle of Neuve Chapelle. After an initial success, a British offensive is halted."
3/22/1915,The Siege of Przemyè?l ends. The Russians capture the fortress.
4/5/1915,First Battle of Woevre.
4/12/1915,Battle of Shaiba.
4/19/1915,The Ottomans besiege the Armenian city of Van.
4/22/1915,"The Second Battle of Ypres, which ends in a stalemate. Germany first uses the poison gas."
4/22/1915,"Battle of Gravenstafel, First stage of the Second Battle of Ypres."
4/24/1915,"Battle of St Julien, part of the Second Battle of Ypres."
4/25/1915,"Allied forces land on Gallipoli, landing at Anzac Cove and Cape Helles."
4/25/1915,London Pact between the Entente and Italy.
4/28/1915,First Battle of Krithia. The Allied advance is repelled.
5/1/1915,Battle of Eski Hissarlik.
5/1/1915,The Gorlice-Tarn??w begins: the German troops under General Mackensen break through the Russian lines in Galicia.
5/3/1915,Troops withdraw from Anzac Cove.
5/6/1915,Second Battle of Krithia. The Allied attempts at advancing are thwarted again.
5/7/1915,The British liner Lusitania is sunk by a German U-boat.
5/8/1915,"Battle of Frezenberg Ridge, Part of the Second Battle of Ypres."
5/9/1915,Second Battle of Artois.
5/9/1915,"Battle of Aubers Ridge, a phase of the Second Battle of Artois."
5/10/1915,Troops from Hungary rout the Russians at Jarosè?aw. Lviv is again in Austrian hands.
5/11/1915,Armistice called at Gallipoli to bury the dead.
5/12/1915,"Windhoek, capital of German South-West Africa, is occupied by South African troops."
5/15/1915,Battle of Festubert.
5/16/1915,Battle of Konary.
5/23/1915,Italy declares war on Austria-Hungary.
5/24/1915,"Battle of Bellewaarde, final phase of the Second Battle of Ypres."
6/1/1915,The Russian Great Retreat from Poland and Galicia.
6/4/1915,The Russians leave Przemyè?l.
6/4/1915,Third Battle of Krithia. Yet another Allied failure.
6/10/1915,Battle of Manzikert.
6/21/1915,Battle of Bukoba.
6/22/1915,Mackensen breaks again through the Russian lines in the Lviv area.
6/23/1915,First Battle of the Isonzo.
6/27/1915,The Austro-Hungarians re-enter Lviv.
6/28/1915,The British win the Battle of Gully Ravine.
7/1/1915,Battle of Kara Killisse.
7/9/1915,The German forces in South-West Africa surrender.
7/18/1915,Second Battle of the Isonzo.
7/25/1915,Italians capture Cappuccio Wood.
8/5/1915,The Germans occupy Warsaw.
8/6/1915,"Battle of Sari Bair, part of the August Offensive. Last and unsuccessful attempt by the British to seize the Gallipoli peninsula."
8/6/1915,"Allies land at Suvla Bay, a phase of the August Offensive."
8/6/1915,"Battle of Krithia Vineyard, part of the August Offensive."
8/6/1915,"Battle of Lone Pine, part of the August Offensive."
8/7/1915,"Battle of Chunuk Bair, a phase of the August Offensive."
8/7/1915,"Battle of the Nek, a phase of the August Offensive."
8/21/1915,"Battle of Hill 60, part of the August Offensive."
8/21/1915,"Scimitar Hill, a phase of the August Offensive."
8/26/1915,"Sventiany Offensive, a phase of the Gorlice-Tarnow Offensive."
9/1/1915,Germany suspends unrestricted submarine warfare.
9/8/1915,"Nicholas II removes Grand Duke Nicholas Nikolayevich as Commander-in-Chief of the Russian Army, personally taking that position."
9/15/1915,Third Battle of Artois.
9/19/1915,The Germans occupy Vilnius. The Gorlice-Tarn??w Offensive ends.
9/25/1915,Second Battle of Champagne.
9/25/1915,"Battle of the Hohenzollern Redoubt, a phase of the Battle of Loos."
9/25/1915,"Battle of Loos, a major British offensive, fails."
9/28/1915,Battle of Es Sinn.
10/7/1915,"Serbia is invaded by Germany, Austria-Hungary, and Bulgaria."
10/14/1915,"Ovche Pole Offensive, a phase of the Central Powers invasion of Serbia, Bulgarians break through Serbian lines."
10/14/1915,"Morava Offensive, a phase of the Central Powers Invasion of Serbia, Bulgarians break through Serbian lines."
10/14/1915,Bulgaria declares war on Serbia
10/15/1915,The United Kingdom declares war on Bulgaria.
10/16/1915,France declares war on Bulgaria.
10/17/1915,"Battle of Krivolak, start of the set up of the Salonika Front."
10/18/1915,Third Battle of the Isonzo
10/19/1915,Italy and Russia declare war on Bulgaria.
10/27/1915,"A French army lands in Salonika and, with the help of British and Italian troops, sets up a Balkan Front."
11/10/1915,"Kosovo Offensive, a phase of the Central Powers invasion of Serbia, Serbians pushed into Albania."
11/10/1915,Fourth Battle of the Isonzo
11/22/1915,"Battle of Ctesiphon, in present-day Iraq."
11/27/1915,The Serbian army collapses. It will retreat to the Adriatic Sea and be evacuated by the Italian and French Navies.
12/1/1915,Battle of Lake Tanganyika.
12/6/1915,Battle of Kosturino
12/7/1915,"The First Siege of Kut, Mesopotamia, by the Ottomans begins."
12/19/1915,Douglas Haig replaces John French as commander of the British Expeditionary Force.
1/5/1916,"Austro-Hungarian offensive against Montenegro, which capitulates."
1/6/1916,"Battle of Sheikh Sa'ad, a phase of the First Siege of Kut."
1/6/1916,Battle of Mojkovac
1/9/1916,The Gallipoli Campaign ends in an Allied defeat and an Ottoman victory.
1/10/1916,Battle of Erzurum.
1/11/1916,Corfu occupied by the Allies.
1/13/1916,"Battle of Wadi, a phase of the First Siege of Kut."
1/21/1916,"Battle of Hanna, a phase of the First Siege of Kut."
1/24/1916,Reinhard Scheer is appointed commander of Germany's Hochseeflotte.
1/27/1916,Conscription introduced in the United Kingdom by the Military Service Act.
2/5/1916,Trebizond Campaign.
2/12/1916,Battle of Salaita Hill.
2/21/1916,The Battle of Verdun begins.
2/26/1916,"Battle of Agagia, Senussi rebellion suppressed by the British."
2/28/1916,German Kamerun (Cameroon) surrenders.
3/1/1916,Fifth Battle of the Isonzo.
3/1/1916,Germany resumes unrestricted submarine warfare.
3/2/1916,Battle of Bitlis.
3/8/1916,Battle of Dujaila: a British attempt to relieve Kut failed.
3/9/1916,Germany declares war on Portugal. Portugal officially enters the war.
3/11/1916,Battle of Latema Nek.
3/18/1916,Lake Naroch Offensive.
3/18/1916,Battle of Kahe.
4/24/1916,Easter Rising by Irish rebels for independence from the United Kingdom.
4/27/1916,Gas attack at Hulluch.
4/29/1916,"The British forces under siege at Kut surrender to the Ottomans, first siege of Kut ends."
5/7/1916,Battle of Kondoa Irangi.
5/10/1916,Germany suspends unrestricted submarine warfare.
5/15/1916,Austro-Hungarian Strafexpedition in Trentino.
5/31/1916,Battle of Jutland between Britain's Grand Fleet and Germany's Hochseeflotte.
6/2/1916,Battle of Mont Sorrel.
6/4/1916,The Brusilov Offensive begins.
6/5/1916,The Arab Revolt in Hejaz begins.
6/5/1916,The HMS Hampshire is sunk off the Orkney Islands; Lord Kitchener dies.
6/10/1916,"Battle of Mecca, Arabs capture the city."
6/10/1916,Italy: Paolo Boselli succeeds Antonio Salandra as Prime Minister.
6/10/1916,The Siege of Medina begins.
6/30/1916,"Battle of the Boar's Head, diversion from the Battle of the Somme which began the next day."
7/1/1916,Second Battle of Albert (Opening phase of the Battle of the Somme).
7/1/1916,British capture Fricourt during the Second Battle of Albert.
7/1/1916,Battle of Taif.
7/1/1916,The Battle of the Somme begins.
7/2/1916,Battle of Erzincan.
7/3/1916,British capture Ovillers during the Second Battle of Albert and Battle of Bazentin Ridge.
7/3/1916,British and French capture Mametz Wood during the Second Battle of Albert.
7/3/1916,British and French capture La Boisselle during the Second Battle of Albert.
7/4/1916,Battle of Kostiuchnowka.
7/7/1916,Allies capture Contalmaison during the Second Battle of Albert.
7/8/1916,British capture Tr??nes Wood during the Second Battle of Albert.
7/14/1916,Battles for Longueval and Delville Wood (Initial phase of the Battle of the Somme)
7/14/1916,Battle of Bazentin Ridge (Initial phase of the Battle of the Somme)
7/19/1916,Battle of Fromelles (Initial phase of the Battle of the Somme).
7/23/1916,Battle of Pozi??res (Initial phase of the Battle of the Somme)
7/24/1916,Battle of Kowel.
8/3/1916,Battle of Romani. Ottoman attack on the British in the Sinai peninsula fails.
8/6/1916,Sixth Battle of the Isonzo. The Italians capture Gorizia (August 9).
8/6/1916,"Battle of Doberdo, part of the Sixth Battle of Isonzo."
8/9/1916,First battle of Doiran.
8/24/1916,Battle of Mlali.
8/27/1916,Conquest of Romania by Central Powers.
8/27/1916,"Battle of Transylvania, a phase of the conquest of Romania."
8/27/1916,Italy declares war on Germany.
8/27/1916,Romania enters the war on the Entente's side. Her army is defeated in a few weeks.
8/29/1916,Paul von Hindenburg replaces Erich von Falkenhayn as German Chief of Staff.
9/2/1916,"Battle of Turtucaia, a phase of the conquest of Romania."
9/3/1916,Battle of Guillemont (intermediate phase of the Battle of the Somme)
9/5/1916,"Battle of Dobrich, a phase of the conquest of Romania."
9/6/1916,The Central Powers create a unified command.
9/7/1916,Battle of Kisaki.
9/9/1916,Battle of Ginchy (intermediate phase of the Battle of the Somme)
9/12/1916,"Monastir Offensive, set up of the Salonika Front."
9/12/1916,"Battle of Kaymakchalan, a phase of the Monastir Offensive."
9/12/1916,"Battle of Malka Nidzhe, a phase of the Monastir Offensive."
9/14/1916,Seventh Battle of the Isonzo
9/15/1916,Battle of Flers-Courcelette (last offensive of the Battle of the Somme). The British use armored tanks for the first time in history.
9/17/1916,"First Battle of Cobadin, a phase of the conquest of Romania."
9/20/1916,The Brusilov Offensive ends with a substantial Russian success.
9/25/1916,Battle of Morval (part of the final stages of the Battle of the Somme)
9/26/1916,Battle of Thiepval Ridge (part of the final stages of the Battle of the Somme)
9/29/1916,"Flamanda Offensive, a phase of the conquest of Romania."
10/1/1916,Battle of Ancre Heights (part of the final stages of the Battle of the Somme).
10/1/1916,Battle of Le Transloy (part of the final stages of the Battle of the Somme)
10/1/1916,"First Battle of the Cerna Bend, a phase of the Monastir Offensive."
10/9/1916,Eighth Battle of the Isonzo.
10/19/1916,"Second Battle of Cobadin, a phase of the conquest of Romania."
10/24/1916,The French recapture Fort Douaumont near Verdun.
11/1/1916,Ninth Battle of the Isonzo.
11/13/1916,Battle of the Ancre (closing phase of the Battle of the Somme)
11/18/1916,The Battle of the Somme ends with enormous casualties and no winner.
11/21/1916,"Francis Joseph I, Emperor of Austria and King of Hungary, dies and is succeeded by Charles I."
11/21/1916,HMHS Britannic sinks after hitting a German mine
11/25/1916,"Battle of Bucharest, a phase of the conquest of Romania."
11/25/1916,David Beatty replaces John Jellicoe as commander of the Grand Fleet. Jellicoe becomes First Lord of the Sea.
11/28/1916,"Prunaru Charge, a phase of the Battle of Bucharest, Romanian cavalry desperately charge into enemy lines."
12/1/1916,Allies capture Yanbu.
12/1/1916,"Battle of the Arges, a phase of the Battle of Bucharest."
12/5/1916,United Kingdom: Prime Minister Henry Asquith resigns and is succeeded by David Lloyd George.
12/6/1916,The Germans occupy Bucharest. The capital of Romania moved to Iaè?i.
