Team,G,Punt,Avg
Florida,13,64,47.9
Utah,13,64,47.7
Texas,13,66,47.2
Alabama,15,64,47.2
Ohio St.,11,56,46.7
Bowling Green,12,61,45.8
Boise St.,13,50,45.0
Southern Miss,13,53,44.7
Tennessee,13,70,44.6
Hawaii,14,70,44.6
Arkansas,12,59,44.5
San Jose St.,12,61,44.3
Virginia,12,74,44.3
La Lafayette,13,64,44.1
Colorado St.,12,56,44.1
California,17,57,44.1
Arizona St.,14,69,43.9
Louisville,13,55,43.9
Mississippi,26,53,43.8
Missouri,12,66,43.8
Nevada,12,51,43.7
North Texas,13,72,43.7
Memphis,21,58,43.6
Navy,13,33,43.5
East. Michigan,13,63,43.5
Michigan,11,54,43.3
Notre Dame,12,55,43.3
Toledo,13,54,43.1
Georgia Tech,13,47,43.1
Kansas St.,17,54,43.1
Texas A&M,14,71,43.0
Stanford,16,54,43.0
Oklahoma St.,13,56,42.8
N. Carolina,13,50,42.7
Florida Atlantic,12,68,42.6
Pittsburgh,13,56,42.6
South Carolina,13,74,42.6
Penn St.,15,63,42.6
W. Kentucky,14,40,42.5
Syracuse,14,79,42.5
BYU,14,58,42.4
South Alabama,24,65,42.4
East Carolina,12,51,42.3
Louisiana Tech,16,39,42.1
UTSA,13,69,42.0
Wake Forest,13,82,41.9
UNLV,13,67,41.9
Tulsa,12,64,41.8
Idaho,12,55,41.7
West Virginia,13,59,41.7
Arizona,14,61,41.6
UMass,12,62,41.6
UCF,18,82,41.6
Auburn,13,48,41.5
New Mexico,16,54,41.5
Baylor,16,57,41.4
LSU,12,57,41.4
Texas St.,15,85,41.4
Vanderbilt,14,70,41.3
N.C. State,13,51,41.3
N. Mex. St.,14,75,41.3
Wyoming,14,70,41.3
S. Diego St.,14,63,41.3
Northwestern,13,73,41.3
Connecticut,12,73,41.3
Colorado,14,72,41.3
South Florida,13,63,41.2
Kansas,14,75,41.2
Iowa St.,12,58,41.1
Oklahoma,13,48,41.1
Air Force,13,48,41.1
Ball St.,14,61,41.0
LA Monroe,12,63,41.0
UTEP,12,62,41.0
Iowa,16,78,40.9
Troy,12,69,40.9
Michigan St.,12,54,40.9
Minnesota,13,77,40.9
Ohio,14,71,40.8
Purdue,11,56,40.7
Washington,17,54,40.7
W. Michigan,19,44,40.7
Houston,12,59,40.6
Cent. Michigan,22,67,40.4
Oregon St.,13,65,40.4
Illinois,15,76,40.3
Indiana,13,61,40.3
Rice,15,78,40.2
Florida St.,14,55,40.2
Tulane,14,72,40.1
Appalachian St.,15,57,40.1
Marshall,12,70,40.0
Cincinnati,13,67,39.8
Maryland,13,72,39.8
Miami (OH),15,64,39.8
Kent St.,14,78,39.8
Buffalo,12,72,39.8
Nebraska,12,65,39.7
Georgia St.,15,67,39.6
Washington St.,22,47,39.6
SMU,12,71,39.6
TCU,13,72,39.6
UCLA,15,73,39.2
Kentucky,14,59,39.2
Arkansas St.,15,81,39.1
Georgia Southern,12,56,39.1
Mississippi St.,14,62,39.1
Temple,14,53,39.0
Coastal Car.,12,45,39.0
Virginia Tech,15,70,38.8
Northern Illinois,13,71,38.8
Middle Tenn. St.,14,59,38.6
Charlotte,15,76,38.5
Texas Tech,13,47,38.4
Fresno St.,12,78,38.3
USC,13,50,38.3
Boston Coll.,13,94,38.3
Clemson,17,64,38.2
Rutgers,12,95,37.9
Utah St.,12,62,37.9
Oregon,12,59,37.8
Old Dominion,14,58,37.8
Akron,13,60,37.6
Florida Intl.,12,61,37.6
Wisconsin,17,66,37.5
Georgia,14,69,37.5
Army,16,39,33.5
Miami (FL),81,142,22.1
Duke,144,266,13.6