Team,G,Pts/G,Yds/G,PassYds,RushYds,Int,IntTD
San Diego,10,12.1,249.6,1674,822,9,2
Villanova,11,14.9,265.1,1811,1105,17,2
Grambling St.,13,15.8,323.7,2774,1434,16,3
Jacksonville St.,11,16.3,252.6,1912,867,18,3
Princeton,10,16.4,317.6,2375,801,12,0
Youngstown St.,11,16.5,294.5,2048,1191,12,1
N. Dak. St.,11,17.1,322.3,2388,1157,19,3
Wofford,11,17.5,270.2,2212,760,18,3
Chattanooga,11,18.2,281.4,1529,1566,8,3
Albany,11,18.8,364.5,2055,1954,17,3
St. Francis (PA),11,18.8,304.9,2136,1218,16,2
Dayton,11,19.8,359.5,2486,1469,20,0
Stony Brook,11,20.2,274.2,1904,1112,10,1
Central Arkansas,11,20.6,318.8,2760,747,14,3
Citadel,11,20.8,307.3,2001,1379,10,1
Harvard,10,21.0,322.5,2242,983,11,0
Illinois St.,11,21.0,342.7,2318,1452,13,2
Wagner,11,21.1,342.5,2398,1369,15,1
Pennsylvania,10,21.3,380.0,2543,1257,13,1
Dartmouth,10,21.3,362.9,2051,1578,7,0
North Dakota,11,21.5,353.2,2878,1007,22,4
N.C. A&T,11,21.6,329.4,2585,1038,13,2
Kennesaw St.,11,21.7,322.3,2112,1433,10,1
New Hampshire,11,21.8,358.3,2395,1546,18,5
Northern Iowa,11,22.0,310.2,2095,1317,17,4
Gardner-Webb,11,22.8,383.1,2052,2162,11,1
N.C. Central,12,22.9,339.8,2130,1948,9,1
Charleston Sou.,10,22.9,305.0,1703,1347,11,0
S. Carolina St.,11,23.1,338.4,2221,1501,19,2
Georgetown,11,23.3,390.5,2600,1696,15,0
Richmond,11,23.3,313.6,1726,1724,18,0
Colgate,10,23.4,344.1,2747,694,12,0
William & Mary,11,23.5,361.5,1696,2281,12,1
Lehigh,11,23.5,398.1,2273,2106,18,0
James Madison,11,23.5,362.4,2426,1560,21,2
Bucknell,11,23.9,366.2,2558,1470,16,1
Tenn-Martin,12,24.0,322.4,2329,1540,17,5
Robert Morris,11,24.2,352.3,2426,1449,7,1
SE Missouri St.,11,24.4,390.2,2769,1523,5,0
Campbell,10,24.4,321.0,1930,1280,12,0
Hampton,11,24.5,340.5,1996,1749,5,0
Norfolk St.,11,24.5,344.3,1882,1905,18,1
Sacred Heart,11,24.6,348.2,2506,1324,8,1
Columbia,10,24.7,349.7,2038,1459,7,0
Duquesne,11,24.8,314.1,2096,1359,7,1
Montana St.,11,25.1,388.6,2670,1605,10,0
Delaware,11,25.1,349.7,1997,1850,15,2
Bethune-Cookman,10,25.2,349.2,1743,1749,11,1
McNeese St.,11,25.9,372.2,2863,1231,8,3
Sam Houston St.,11,25.9,419.9,2973,1646,8,0
Liberty,11,26.0,392.9,1908,2414,14,1
Maine,11,26.2,392.7,2453,1867,12,1
Samford,11,26.3,419.7,2369,2248,12,2
Brown,10,26.5,356.3,2336,1227,12,1
Montana,11,27.0,349.8,2198,1650,8,2
Furman,11,27.1,373.0,1988,2115,7,0
Alabama St.,11,27.4,401.8,2968,1452,12,1
Stetson,11,27.5,370.6,2352,1725,12,0
Texas Southern,11,27.6,396.3,2588,1771,9,1
Towson,11,27.6,332.3,1875,1780,9,0
Virginia Military,11,27.7,429.5,2670,2055,7,0
E. Tennessee St.,11,28.0,380.7,2013,2175,2,0
Eastern Illinois,11,28.2,373.5,2364,1745,7,0
Bryant,11,28.2,351.5,2248,1619,10,0
Southern,11,28.3,409.8,2365,2143,19,2
Drake,11,28.3,400.0,2467,1933,10,0
S. Dakota St.,11,28.4,403.4,2566,1871,15,4
Southern Utah,11,28.4,455.0,3311,1694,20,1
Northern Arizona,11,28.5,413.1,2857,1687,8,0
Weber St.,11,28.6,389.2,2168,2113,5,1
Tennessee Tech,11,28.7,408.4,2782,1710,8,2
Jackson St.,11,28.8,348.9,2068,1770,9,1
Eastern Wash.,11,28.8,444.5,2608,2282,17,1
Butler,11,28.9,388.8,3179,1098,8,2
Mercer,11,28.9,403.5,2775,1663,9,0
Alcorn St.,11,29.0,393.5,2550,1779,11,1
Marist,11,29.2,420.9,2353,2277,19,1
Davidson,11,29.4,429.8,2799,1929,13,1
SE Louisiana,11,29.8,403.3,2407,2029,10,1
Nicholls,11,29.8,385.4,2685,1554,15,1
Tennessee St.,11,30.1,398.8,2431,1956,13,2
Fordham,11,30.1,379.3,2121,2051,13,1
E. Kentucky,11,30.5,406.0,2262,2204,10,3
Lamar,11,30.5,419.3,2082,2530,12,0
Southern Ill.,11,30.7,433.1,2939,1825,13,1
Elon,11,30.7,421.5,2109,2528,11,1
Savannah St.,10,30.8,409.6,2088,2008,13,0
Presbyterian,11,30.9,431.5,2077,2670,7,0
Cornell,10,31.0,465.9,2717,1942,15,0
Prairie View A&M,11,31.2,404.5,2510,1939,12,2
Western Ill.,11,31.5,447.1,3271,1647,12,0
Holy Cross,11,32.3,414.6,2707,1854,8,0
Indiana St.,11,32.6,404.8,2417,2036,5,1
Cal Poly,11,32.6,399.4,2955,1438,8,1
Monmouth,11,32.8,413.1,1738,2806,6,0
Florida A&M,11,32.8,381.0,1790,2401,16,1
Jacksonville,10,33.3,413.9,2240,1899,9,1
Valparaiso,11,33.3,429.6,2493,2233,13,2
N'western St.,11,33.6,467.9,3017,2130,5,0
Morgan St.,11,33.6,390.5,2197,2099,8,0
Yale,10,33.9,435.4,2853,1501,7,0
Morehead St.,11,34.5,415.2,2032,2535,7,0
South Dakota,11,34.5,484.1,2567,2758,12,0
Houston Baptist,11,34.8,450.0,2833,2117,3,0
Howard,11,34.8,415.7,2157,2416,7,0
Central Conn. St.,11,34.8,404.1,2762,1683,7,3
Lafayette,11,35.1,426.9,1934,2762,8,1
Murray St.,11,35.2,489.2,3139,2242,11,0
Missouri St.,11,35.7,443.4,2861,2016,10,1
Western Carolina,11,36.0,522.3,2345,3400,6,1
Northern Colorado,11,36.2,480.4,2665,2619,2,0
Rhode Island,11,36.4,425.4,2337,2342,6,0
UC Davis,11,37.1,437.4,2617,2194,7,1
Incarnate Word,11,37.7,447.4,2950,1971,1,0
Abilene Christian,11,37.9,487.7,3054,2311,6,0
S.F. Austin,11,38.4,473.0,3659,1544,13,1
Alabama A&M,11,38.7,460.7,2437,2631,9,1
Portland St.,11,39.0,478.5,2523,2740,8,0
Delaware St.,11,39.7,471.8,2293,2897,2,0
Sacramento St.,11,40.0,528.6,2612,3203,4,0
Idaho St.,11,41.0,502.2,2999,2525,10,1
AR Pine Bluff,11,42.2,490.3,3129,2264,3,0
Miss. Valley St.,11,45.8,446.1,2699,2208,13,0
Austin Peay,11,47.0,506.6,2737,2836,5,1